api_parsing | 2025-02-28 21:40:26 | ERROR | Серверная ошибка 500 для категории face-serum, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:26 | WARNING | Не удалось получить продукты для категории Face Serums.
api_parsing | 2025-02-28 21:40:26 | INFO | Обрабатываем категорию: Blemish & Acne Treatments (ID: acne-products-acne-cream)
api_parsing | 2025-02-28 21:40:26 | ERROR | Серверная ошибка 500 для категории acne-products-acne-cream, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:26 | WARNING | Не удалось получить продукты для категории Blemish & Acne Treatments.
api_parsing | 2025-02-28 21:40:26 | INFO | Обрабатываем категорию: Facial Peels (ID: facial-peels)
api_parsing | 2025-02-28 21:40:27 | ERROR | Серверная ошибка 500 для категории facial-peels, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:27 | WARNING | Не удалось получить продукты для категории Facial Peels.
api_parsing | 2025-02-28 21:40:27 | INFO | Обрабатываем категорию: Masks (ID: face-mask)
api_parsing | 2025-02-28 21:40:28 | ERROR | Серверная ошибка 500 для категории face-mask, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:28 | WARNING | Не удалось получить продукты для категории Masks.
api_parsing | 2025-02-28 21:40:28 | INFO | Обрабатываем категорию: Face Masks (ID: facial-treatment-masks)
api_parsing | 2025-02-28 21:40:29 | ERROR | Серверная ошибка 500 для категории facial-treatment-masks, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:29 | WARNING | Не удалось получить продукты для категории Face Masks.
api_parsing | 2025-02-28 21:40:29 | INFO | Обрабатываем категорию: Sheet Masks (ID: sheet-masks)
api_parsing | 2025-02-28 21:40:29 | ERROR | Серверная ошибка 500 для категории sheet-masks, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:29 | WARNING | Не удалось получить продукты для категории Sheet Masks.
api_parsing | 2025-02-28 21:40:29 | INFO | Обрабатываем категорию: Eye Masks (ID: eye-mask)
api_parsing | 2025-02-28 21:40:30 | ERROR | Серверная ошибка 500 для категории eye-mask, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:30 | WARNING | Не удалось получить продукты для категории Eye Masks.
api_parsing | 2025-02-28 21:40:30 | INFO | Обрабатываем категорию: Eye Care (ID: eye-treatment-dark-circle-treatment)
